City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,wakuya,38.5333,141.1333,48.16,72,9,20.96,JP,1700472781
113,mezhdurechensk,53.6942,88.0603,21.6,73,100,9.31,RU,1700472781
114,ushuaia,-54.8,-68.3,37.06,80,75,10.36,AR,1700472455
115,hithadhoo,-0.6,73.0833,82.35,76,60,14.79,MV,1700472444
116,weno,7.4515,151.8468,84.13,77,14,10.96,FM,1700472525
117,cold springs,39.6802,-119.9766,33.75,77,0,0.0,US,1700472581
118,new norfolk,-42.7826,147.0587,60.3,90,100,3.18,AU,1700472520
119,lihue,21.9789,-159.3672,71.37,89,75,9.22,US,1700472434
120,swakopmund,-22.6833,14.5333,70.65,77,49,5.99,NA,1700472549
121,avarua,-21.2078,-159.775,73.45,73,20,10.36,CK,1700472432
122,rongelap,11.1635,166.8941,82.72,78,10,20.36,MH,1700472783
123,valparaiso,-33.0393,-71.6273,53.24,82,40,3.44,CL,1700472502
124,el abiodh sidi cheikh,32.893,0.5484,61.18,37,3,2.84,DZ,1700472783
125,oranjemund,-28.55,16.4333,70.52,62,100,14.54,NA,1700472783
126,cabedelo,-6.9811,-34.8339,79.47,67,70,10.83,BR,1700472784
127,lompoc,34.6391,-120.4579,56.59,58,0,16.11,US,1700472544
128,karratha,-20.7377,116.8463,93.79,37,53,21.32,AU,1700472550
129,kodiak,57.79,-152.4072,31.51,55,75,8.05,US,1700472451
130,les avirons,-21.2418,55.3394,81.0,69,40,19.57,RE,1700472479
131,kapa'a,22.0752,-159.319,72.1,88,75,9.22,US,1700472500
132,bathsheba,13.2167,-59.5167,81.21,83,20,18.41,BB,1700472785
133,maceio,-9.6658,-35.7353,76.44,100,20,5.75,BR,1700472785
134,ribadesella,43.4614,-5.0596,55.94,91,100,8.03,ES,1700472785
135,newman,37.3138,-121.0208,50.02,53,45,9.22,US,1700472393
136,mendi,-6.1761,143.6513,58.06,98,54,1.7,PG,1700472528
137,chegdomyn,51.1167,133.0167,19.51,87,100,2.89,RU,1700472786
138,scottburgh,-30.2867,30.7532,78.62,70,51,6.96,ZA,1700472787
139,golfito,8.639,-83.166,73.87,98,100,2.44,CR,1700472787
140,firuzabad,28.8438,52.5707,55.45,66,100,10.63,IR,1700472787
141,port alfred,-33.5906,26.891,76.17,78,100,8.99,ZA,1700472535
142,soto la marina,23.7667,-98.2167,67.17,93,0,3.18,MX,1700472787
143,opuwo,-18.0607,13.84,89.69,29,59,8.93,NA,1700472788
144,nantucket,41.2835,-70.0995,40.14,64,20,16.11,US,1700472788
145,polyarnyy,69.1989,33.4478,8.35,95,86,8.03,RU,1700472788
146,saipan,15.1355,145.701,83.1,89,75,4.61,MP,1700472223
147,mejit,10.2753,170.8646,82.36,78,9,20.02,MH,1700472472
148,fale old settlement,-9.3852,-171.2468,85.12,73,34,15.37,TK,1700472382
149,margaret river,-33.95,115.0667,68.92,60,3,19.75,AU,1700472309
150,san antonio de pale,-1.4014,5.6325,75.69,93,100,5.86,GQ,1700472442
151,molde,62.7375,7.1591,29.71,74,0,9.22,NO,1700472658
152,las tablas,7.7667,-80.2833,75.34,91,100,5.79,PA,1700472790
153,kpandae,8.4689,-0.0113,90.43,36,96,0.92,GH,1700472790
154,thompson,55.7435,-97.8558,30.72,94,100,9.28,CA,1700472286
155,mirnyy,62.5353,113.9611,3.24,71,100,8.99,RU,1700472791
156,ta`u,-14.2336,-169.5144,79.99,78,39,18.92,AS,1700472791
157,vila velha,-20.3297,-40.2925,76.95,86,0,8.01,BR,1700472447
158,georgetown,5.4112,100.3354,87.75,66,20,11.5,MY,1700472457
159,puerto baquerizo moreno,-0.9,-89.6,71.19,80,94,10.29,EC,1700472473
160,prince rupert,54.3161,-130.3201,40.69,90,100,23.02,CA,1700472792
161,richmond,37.5538,-77.4603,35.47,84,0,0.0,US,1700472792
162,la passe,45.5549,-0.8967,55.98,78,100,9.22,FR,1700472539
163,olinda,-8.0089,-34.8553,80.33,78,75,11.5,BR,1700472464
164,lorengau,-2.0226,147.2712,81.82,84,57,7.94,PG,1700472445
165,borogontsy,62.6683,131.1683,2.3,88,100,12.91,RU,1700472793
166,fabens,31.5023,-106.1586,56.57,59,3,23.33,US,1700472793
167,tommot,58.9564,126.2925,27.55,81,100,18.54,RU,1700472793
168,sydney mines,46.2367,-60.2177,36.0,86,40,4.61,CA,1700472794
169,chingirlau,51.095,54.0814,37.02,56,100,22.86,KZ,1700472794
170,itoman,26.1247,127.6694,70.57,52,40,13.8,JP,1700472794
171,rikaze,29.25,88.8833,56.68,8,1,15.79,CN,1700472794
172,touros,-5.1989,-35.4608,79.36,78,100,10.0,BR,1700472461
173,cannonvale,-20.2833,148.7,78.19,79,3,8.32,AU,1700472795
174,magdagachi,53.45,125.8,17.47,96,92,2.06,RU,1700472795
175,santyoku,37.4406,129.1708,48.99,55,0,7.9,KR,1700472470
176,ust-nera,64.5667,143.2,-26.9,98,59,0.83,RU,1700472445
177,dryden,49.7833,-92.7503,30.49,86,20,8.05,CA,1700472796
178,huinca renanco,-34.8404,-64.3758,69.89,34,98,15.93,AR,1700472796
179,klyuchi,52.2667,79.1667,25.36,55,13,11.54,RU,1700472455
180,metlili chaamba,32.2667,3.6333,63.54,55,0,0.0,DZ,1700472797
181,puerto aysen,-45.4,-72.7,41.86,100,100,7.0,CL,1700472797
182,smolenskaya,44.7887,38.8018,44.62,76,100,12.35,RU,1700472797
183,dolores,-36.3132,-57.6792,58.77,54,26,7.96,AR,1700472797
184,sao paulo de olivenca,-3.3783,-68.8725,74.46,98,99,1.95,BR,1700472798
185,lospalos,-8.5186,127.0025,75.49,78,66,6.42,TL,1700472798
186,angaur state,6.906,134.13,84.52,76,42,9.86,PW,1700472798
187,qaqortoq,60.7167,-46.0333,34.47,96,100,31.21,GL,1700472460
188,remire-montjoly,4.9167,-52.2667,77.04,100,20,0.0,GF,1700472452
189,mount pearl,47.5166,-52.7813,32.32,88,20,12.66,CA,1700472558
190,egilsstadir,65.2653,-14.3948,24.71,93,0,4.61,IS,1700472553
191,yangambi,0.8102,24.4336,72.27,99,100,1.32,CD,1700472799
192,aginskoye,51.1,114.53,31.5,58,100,24.05,RU,1700472799
193,colonia,50.9333,6.95,54.97,77,40,11.5,DE,1700472246
194,port mathurin,-19.6833,63.4167,78.51,77,13,13.82,MU,1700472429
195,bereket,39.2446,55.5154,86.14,16,1,9.91,TM,1700472800
196,nueva gerona,21.8833,-82.8,74.12,72,2,8.57,CU,1700472800
